Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.30,-.21,-.18,-.27,-.14,-.29,-.24,-.08,-.17,-.16,-.19,-.22,-.20,***,***,-.20,-.20,-.17
1881,-.11,-.14,.01,-.03,-.04,-.28,-.06,-.02,-.09,-.19,-.26,-.15,-.11,-.12,-.15,-.02,-.12,-.18
1882,.10,.10,.02,-.20,-.17,-.25,-.10,.04,.00,-.22,-.20,-.25,-.10,-.09,.02,-.12,-.11,-.14
1883,-.33,-.42,-.17,-.24,-.25,-.12,-.08,-.12,-.18,-.11,-.20,-.18,-.20,-.21,-.33,-.22,-.11,-.16
1884,-.18,-.11,-.33,-.35,-.31,-.37,-.33,-.25,-.23,-.21,-.29,-.28,-.27,-.26,-.16,-.33,-.32,-.24
1885,-.64,-.29,-.23,-.43,-.41,-.50,-.28,-.27,-.19,-.19,-.22,-.05,-.31,-.33,-.41,-.36,-.35,-.20
1886,-.42,-.45,-.41,-.29,-.27,-.39,-.16,-.31,-.19,-.25,-.26,-.25,-.30,-.29,-.31,-.32,-.28,-.23
1887,-.66,-.47,-.31,-.37,-.33,-.20,-.18,-.27,-.19,-.32,-.25,-.37,-.33,-.32,-.46,-.33,-.22,-.25
1888,-.42,-.41,-.47,-.28,-.22,-.20,-.09,-.11,-.07,.02,.00,-.12,-.20,-.22,-.40,-.32,-.13,-.02
1889,-.20,.15,.05,.05,-.02,-.11,-.05,-.17,-.18,-.22,-.30,-.30,-.11,-.09,-.06,.02,-.11,-.23
1890,-.47,-.48,-.41,-.37,-.47,-.27,-.29,-.36,-.36,-.22,-.37,-.30,-.36,-.36,-.42,-.42,-.31,-.32
1891,-.46,-.50,-.14,-.25,-.17,-.22,-.22,-.21,-.14,-.23,-.37,-.02,-.24,-.27,-.42,-.19,-.22,-.25
1892,-.25,-.15,-.36,-.35,-.25,-.20,-.28,-.20,-.25,-.16,-.50,-.29,-.27,-.25,-.14,-.32,-.22,-.30
1893,-.68,-.51,-.24,-.32,-.35,-.24,-.14,-.24,-.18,-.16,-.17,-.38,-.30,-.29,-.49,-.30,-.20,-.17
1894,-.55,-.32,-.21,-.41,-.30,-.44,-.32,-.28,-.22,-.17,-.25,-.22,-.31,-.32,-.42,-.31,-.35,-.21
1895,-.44,-.42,-.29,-.22,-.23,-.25,-.17,-.16,-.02,-.10,-.16,-.12,-.22,-.22,-.36,-.25,-.19,-.09
1896,-.23,-.15,-.30,-.32,-.20,-.14,-.06,-.09,-.05,.04,-.16,-.12,-.15,-.15,-.17,-.27,-.10,-.06
1897,-.23,-.19,-.12,-.01,.00,-.13,-.05,-.03,-.05,-.09,-.17,-.25,-.11,-.10,-.18,-.05,-.07,-.10
1898,-.07,-.33,-.56,-.34,-.36,-.22,-.23,-.24,-.19,-.32,-.36,-.22,-.29,-.29,-.22,-.42,-.23,-.29
1899,-.18,-.40,-.34,-.21,-.20,-.26,-.14,-.05,-.02,.00,.12,-.27,-.16,-.16,-.27,-.25,-.15,.03
1900,-.40,-.07,.02,-.14,-.06,-.15,-.08,-.03,.02,.08,-.13,-.13,-.09,-.10,-.25,-.06,-.09,-.01
1901,-.27,-.05,.05,-.05,-.16,-.10,-.08,-.12,-.17,-.29,-.17,-.30,-.14,-.13,-.15,-.05,-.10,-.21
1902,-.18,-.03,-.29,-.28,-.31,-.33,-.25,-.28,-.20,-.27,-.35,-.46,-.27,-.26,-.17,-.29,-.29,-.27
1903,-.27,-.05,-.22,-.39,-.40,-.44,-.30,-.43,-.43,-.42,-.39,-.47,-.35,-.35,-.26,-.34,-.39,-.41
1904,-.64,-.55,-.46,-.50,-.50,-.49,-.48,-.43,-.47,-.35,-.16,-.29,-.44,-.46,-.55,-.49,-.47,-.33
1905,-.38,-.58,-.25,-.37,-.34,-.31,-.25,-.20,-.15,-.24,-.09,-.21,-.28,-.29,-.42,-.32,-.25,-.16
1906,-.30,-.32,-.15,-.03,-.21,-.22,-.26,-.18,-.25,-.20,-.39,-.18,-.22,-.23,-.28,-.13,-.22,-.28
1907,-.43,-.51,-.23,-.39,-.46,-.43,-.36,-.37,-.32,-.24,-.51,-.50,-.40,-.37,-.38,-.36,-.39,-.36
1908,-.46,-.35,-.57,-.46,-.41,-.39,-.35,-.45,-.33,-.43,-.51,-.50,-.43,-.44,-.44,-.48,-.40,-.42
1909,-.70,-.47,-.52,-.59,-.54,-.52,-.43,-.30,-.37,-.39,-.32,-.55,-.47,-.47,-.56,-.55,-.42,-.36
1910,-.43,-.43,-.48,-.38,-.34,-.37,-.32,-.34,-.37,-.39,-.56,-.69,-.42,-.41,-.47,-.40,-.34,-.44
1911,-.63,-.60,-.62,-.55,-.51,-.46,-.41,-.43,-.38,-.26,-.20,-.24,-.44,-.48,-.64,-.56,-.43,-.28
1912,-.26,-.14,-.37,-.20,-.19,-.26,-.41,-.52,-.48,-.56,-.37,-.43,-.35,-.33,-.21,-.25,-.40,-.47
1913,-.42,-.44,-.43,-.37,-.45,-.47,-.35,-.34,-.34,-.35,-.18,-.03,-.35,-.38,-.43,-.42,-.39,-.29
1914,.02,-.13,-.23,-.28,-.20,-.24,-.25,-.15,-.13,-.06,-.21,-.09,-.16,-.16,-.05,-.24,-.21,-.13
1915,-.19,-.01,-.11,.07,-.02,-.16,-.03,-.16,-.13,-.23,-.13,-.25,-.11,-.10,-.10,-.02,-.12,-.16
1916,-.18,-.22,-.32,-.24,-.27,-.44,-.34,-.27,-.29,-.28,-.41,-.77,-.34,-.29,-.21,-.28,-.35,-.32
1917,-.46,-.53,-.47,-.38,-.48,-.40,-.23,-.26,-.18,-.35,-.27,-.72,-.40,-.40,-.59,-.44,-.30,-.27
1918,-.42,-.30,-.19,-.39,-.37,-.28,-.20,-.25,-.14,-.03,-.15,-.30,-.25,-.29,-.48,-.32,-.24,-.11
1919,-.21,-.20,-.25,-.17,-.20,-.28,-.20,-.19,-.17,-.15,-.29,-.35,-.22,-.22,-.23,-.20,-.22,-.20
1920,-.15,-.22,-.07,-.26,-.25,-.33,-.32,-.29,-.19,-.29,-.33,-.47,-.26,-.25,-.24,-.19,-.31,-.27
1921,-.03,-.20,-.27,-.35,-.35,-.31,-.15,-.24,-.16,-.06,-.16,-.18,-.21,-.23,-.23,-.33,-.23,-.13
1922,-.34,-.43,-.12,-.21,-.33,-.32,-.26,-.30,-.28,-.32,-.16,-.16,-.27,-.27,-.32,-.22,-.29,-.25
1923,-.26,-.36,-.32,-.37,-.33,-.23,-.28,-.28,-.27,-.12,.04,-.05,-.23,-.24,-.26,-.34,-.26,-.11
1924,-.24,-.27,-.11,-.34,-.19,-.27,-.26,-.34,-.30,-.35,-.22,-.42,-.28,-.25,-.18,-.21,-.29,-.29
1925,-.33,-.34,-.23,-.24,-.29,-.33,-.30,-.18,-.13,-.17,.04,.11,-.20,-.24,-.36,-.25,-.27,-.09
1926,.20,.08,.13,-.14,-.24,-.24,-.20,-.10,-.11,-.11,-.06,-.30,-.09,-.06,.13,-.08,-.18,-.09
1927,-.28,-.20,-.38,-.30,-.24,-.27,-.13,-.18,-.05,-.01,-.03,-.35,-.20,-.20,-.26,-.30,-.19,-.03
1928,-.02,-.11,-.28,-.28,-.29,-.41,-.21,-.25,-.19,-.18,-.09,-.20,-.21,-.22,-.16,-.28,-.29,-.15
1929,-.46,-.60,-.33,-.40,-.38,-.43,-.33,-.29,-.24,-.15,-.14,-.55,-.36,-.33,-.42,-.37,-.35,-.17
1930,-.29,-.25,-.08,-.26,-.25,-.19,-.16,-.10,-.11,-.08,.14,-.09,-.14,-.18,-.36,-.20,-.15,-.02
1931,-.11,-.22,-.06,-.21,-.22,-.06,.01,-.01,-.06,.00,-.12,-.10,-.10,-.09,-.14,-.16,-.02,-.06
1932,.14,-.17,-.20,-.07,-.22,-.30,-.24,-.24,-.12,-.10,-.26,-.22,-.17,-.16,-.05,-.17,-.26,-.16
1933,-.34,-.32,-.28,-.23,-.25,-.32,-.20,-.23,-.26,-.24,-.31,-.47,-.29,-.27,-.30,-.26,-.25,-.27
1934,-.27,-.04,-.30,-.26,-.10,-.14,-.11,-.10,-.15,-.11,-.01,-.08,-.14,-.17,-.26,-.22,-.11,-.09
1935,-.37,.12,-.13,-.34,-.25,-.22,-.19,-.17,-.16,-.08,-.28,-.22,-.19,-.18,-.11,-.24,-.19,-.18
1936,-.29,-.39,-.23,-.20,-.16,-.19,-.06,-.12,-.06,-.03,-.04,-.03,-.15,-.17,-.30,-.20,-.12,-.04
1937,-.11,.06,-.16,-.17,-.06,-.07,-.04,.03,.15,.10,.10,-.12,-.02,-.02,-.03,-.13,-.03,.11
1938,.00,-.03,.06,.05,-.07,-.17,-.08,-.04,.04,.11,.02,-.26,-.03,-.02,-.05,.01,-.10,.06
1939,-.13,-.12,-.20,-.12,-.07,-.08,-.05,-.05,.00,-.03,.06,.40,-.03,-.09,-.17,-.13,-.06,.01
1940,-.15,.07,.12,.17,.06,.05,.10,.01,.12,.08,.13,.19,.08,.10,.11,.12,.05,.11
1941,.13,.23,.06,.11,.11,.04,.15,.14,.02,.25,.12,.14,.13,.13,.19,.09,.11,.13
1942,.26,.05,.13,.14,.14,.11,.02,-.03,.00,.07,.13,.12,.09,.10,.15,.14,.03,.06
