Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.53,-.44,-.30,-.46,-.11,-.26,-.29,-.29,-.33,-.26,-.39,-.41,-.34,***,***,-.29,-.28,-.33
1881,-.09,-.24,-.02,-.07,-.12,-.42,-.05,-.03,-.22,-.34,-.42,-.30,-.19,-.20,-.25,-.07,-.17,-.33
1882,.19,.21,-.03,-.40,-.33,-.31,-.18,.01,-.02,-.50,-.36,-.39,-.18,-.17,.03,-.25,-.16,-.29
1883,-.58,-.66,-.18,-.30,-.30,-.23,-.14,-.26,-.30,-.12,-.33,-.25,-.30,-.32,-.54,-.26,-.21,-.25
1884,-.21,-.13,-.65,-.59,-.40,-.49,-.44,-.49,-.45,-.34,-.44,-.36,-.42,-.41,-.20,-.55,-.47,-.41
1885,-1.11,-.35,-.18,-.55,-.56,-.55,-.33,-.44,-.32,-.29,-.27,.03,-.41,-.44,-.61,-.43,-.44,-.29
1886,-.66,-.67,-.57,-.36,-.36,-.43,-.14,-.46,-.30,-.25,-.34,-.11,-.39,-.38,-.43,-.43,-.34,-.30
1887,-1.00,-.53,-.32,-.40,-.32,-.13,-.11,-.42,-.12,-.37,-.19,-.44,-.36,-.34,-.55,-.35,-.22,-.23
1888,-.57,-.57,-.63,-.29,-.14,-.04,.06,-.10,-.08,.05,-.03,-.34,-.22,-.23,-.53,-.35,-.03,-.02
1889,-.40,.29,.02,.12,-.07,-.13,.02,-.12,-.20,-.33,-.54,-.52,-.16,-.14,-.15,.02,-.08,-.36
1890,-.66,-.60,-.42,-.33,-.48,-.15,-.27,-.40,-.41,-.11,-.52,-.41,-.40,-.41,-.59,-.41,-.27,-.35
1891,-.62,-.74,-.09,-.28,-.17,-.13,-.15,-.11,.03,-.24,-.55,.08,-.25,-.29,-.59,-.18,-.13,-.25
1892,-.35,-.17,-.54,-.41,-.23,.00,-.15,-.07,-.32,-.21,-.87,-.49,-.32,-.27,-.15,-.40,-.07,-.47
1893,-1.32,-.85,-.28,-.30,-.35,-.17,-.11,-.25,-.16,-.19,-.20,-.64,-.40,-.39,-.89,-.31,-.18,-.19
1894,-.87,-.42,-.19,-.51,-.24,-.46,-.31,-.28,-.26,-.22,-.47,-.32,-.38,-.40,-.64,-.31,-.35,-.32
1895,-.73,-.75,-.36,-.20,-.26,-.26,-.17,-.29,.04,-.11,-.08,-.18,-.28,-.29,-.60,-.28,-.24,-.05
1896,-.43,-.23,-.53,-.62,-.19,.06,-.02,-.10,-.07,.04,-.29,-.23,-.22,-.21,-.28,-.44,-.02,-.11
1897,-.37,-.34,-.32,.01,.16,-.03,.02,.03,-.03,-.13,-.24,-.33,-.13,-.12,-.31,-.05,.00,-.14
1898,.02,-.45,-.73,-.28,-.36,-.12,-.12,-.17,-.12,-.31,-.44,-.22,-.28,-.28,-.25,-.46,-.14,-.29
1899,-.10,-.60,-.48,-.20,-.23,-.33,-.19,-.02,-.01,.14,.39,-.45,-.17,-.15,-.31,-.30,-.18,.17
1900,-.57,-.02,.19,-.14,.06,-.10,-.03,.02,.03,.25,-.16,-.04,-.04,-.08,-.35,.04,-.04,.04
1901,-.35,.06,.30,.10,-.11,.04,.05,-.05,-.18,-.27,-.16,-.37,-.08,-.05,-.11,.10,.01,-.21
1902,-.15,.16,-.34,-.38,-.42,-.40,-.27,-.23,-.23,-.27,-.48,-.66,-.31,-.28,-.12,-.38,-.30,-.33
1903,-.21,.22,-.15,-.46,-.51,-.55,-.34,-.51,-.40,-.42,-.36,-.51,-.35,-.36,-.22,-.37,-.47,-.39
1904,-.77,-.55,-.41,-.57,-.48,-.51,-.56,-.43,-.56,-.33,-.08,-.25,-.46,-.48,-.61,-.48,-.50,-.32
1905,-.46,-.74,-.21,-.45,-.31,-.31,-.18,-.23,-.11,-.24,.05,-.28,-.29,-.28,-.48,-.32,-.24,-.10
1906,-.55,-.56,-.12,.09,-.17,-.07,-.28,-.10,-.19,-.11,-.39,.01,-.20,-.23,-.46,-.07,-.15,-.23
1907,-.53,-.69,-.22,-.47,-.60,-.51,-.42,-.40,-.39,-.20,-.62,-.56,-.47,-.42,-.40,-.43,-.44,-.40
1908,-.51,-.28,-.70,-.49,-.37,-.36,-.39,-.57,-.30,-.45,-.60,-.54,-.46,-.46,-.45,-.52,-.44,-.45
1909,-.89,-.48,-.61,-.68,-.52,-.52,-.41,-.30,-.36,-.32,-.13,-.53,-.48,-.48,-.64,-.61,-.41,-.27
1910,-.38,-.39,-.47,-.35,-.35,-.45,-.37,-.38,-.40,-.25,-.55,-.79,-.43,-.41,-.44,-.39,-.40,-.40
1911,-.74,-.60,-.61,-.45,-.46,-.27,-.36,-.42,-.32,-.13,-.14,-.32,-.40,-.44,-.71,-.50,-.35,-.20
1912,-.40,-.16,-.61,-.23,-.17,-.20,-.56,-.75,-.68,-.80,-.46,-.56,-.46,-.44,-.29,-.33,-.50,-.65
1913,-.57,-.58,-.44,-.50,-.61,-.58,-.57,-.47,-.43,-.43,-.12,.10,-.43,-.49,-.57,-.52,-.54,-.33
1914,.19,-.08,-.29,-.37,-.26,-.28,-.37,-.22,-.21,.02,-.23,-.10,-.18,-.17,.07,-.31,-.29,-.14
1915,-.18,-.02,-.23,.07,.00,-.08,-.03,-.13,-.12,-.25,.00,-.16,-.09,-.09,-.10,-.05,-.08,-.12
1916,-.05,-.14,-.39,-.29,-.29,-.44,-.30,-.30,-.37,-.23,-.33,-1.06,-.35,-.28,-.12,-.33,-.35,-.31
1917,-.51,-.62,-.64,-.49,-.70,-.45,-.30,-.37,-.23,-.54,-.20,-1.09,-.51,-.51,-.73,-.61,-.38,-.32
1918,-.55,-.30,-.13,-.53,-.47,-.37,-.32,-.27,-.15,.05,-.20,-.56,-.32,-.36,-.65,-.38,-.32,-.10
1919,-.39,-.39,-.42,-.29,-.44,-.38,-.29,-.19,-.10,-.06,-.44,-.50,-.32,-.33,-.44,-.39,-.29,-.20
1920,-.05,-.20,.08,-.23,-.20,-.25,-.24,-.29,-.32,-.38,-.43,-.65,-.26,-.25,-.25,-.12,-.26,-.37
1921,.25,-.10,-.08,-.14,-.22,-.12,-.01,-.23,-.13,.02,-.06,-.12,-.08,-.12,-.17,-.15,-.12,-.06
1922,-.37,-.62,-.06,-.16,-.19,-.16,-.25,-.31,-.34,-.29,-.11,-.13,-.25,-.25,-.37,-.14,-.24,-.25
1923,-.20,-.42,-.38,-.52,-.39,-.21,-.25,-.19,-.09,.14,.24,.14,-.18,-.20,-.25,-.43,-.22,.10
1924,-.24,-.20,.06,-.28,-.06,-.16,-.15,-.21,-.18,-.19,.15,-.33,-.15,-.11,-.10,-.09,-.18,-.07
1925,-.20,-.31,-.15,-.11,-.21,-.23,-.23,-.11,.05,-.02,.25,.30,-.08,-.13,-.28,-.16,-.19,.09
1926,.52,.26,.38,-.10,-.20,-.16,-.15,-.06,.00,.10,.21,-.24,.04,.09,.36,.02,-.12,.10
1927,-.24,-.06,-.42,-.28,-.12,-.12,-.03,-.09,.08,.28,.18,-.34,-.10,-.09,-.18,-.27,-.08,.18
1928,.31,.14,-.24,-.28,-.12,-.26,-.08,-.16,-.11,-.04,.08,-.05,-.07,-.09,.04,-.21,-.17,-.02
1929,-.54,-.80,-.15,-.31,-.27,-.33,-.30,-.14,-.15,.03,.02,-.63,-.30,-.25,-.46,-.24,-.26,-.03
1930,-.10,-.19,.17,-.15,-.19,-.11,.03,.09,.03,.10,.41,.08,.02,-.04,-.30,-.06,.00,.18
1931,.04,-.29,.02,-.15,-.13,.16,.10,.11,.18,.30,.17,.05,.05,.05,-.06,-.09,.12,.22
1932,.42,-.18,-.18,.12,-.10,-.12,-.09,-.06,.12,.16,-.25,-.14,-.03,-.01,.10,-.06,-.09,.01
1933,-.36,-.37,-.30,-.18,-.25,-.28,-.12,-.16,-.21,-.09,-.19,-.54,-.25,-.22,-.29,-.24,-.18,-.16
1934,-.19,.35,-.31,-.25,.06,-.02,-.03,-.08,-.14,.11,.29,.19,.00,-.06,-.13,-.17,-.04,.09
1935,-.39,.60,.07,-.31,-.31,-.13,-.04,-.07,-.02,.10,-.34,-.19,-.09,-.05,.13,-.18,-.08,-.09
1936,-.29,-.51,-.13,-.05,-.02,.05,.14,.04,.07,.06,.08,.15,-.03,-.06,-.33,-.07,.08,.07
1937,.00,.29,-.15,-.07,.08,.13,.14,.16,.34,.35,.27,-.08,.12,.14,.15,-.05,.15,.32
1938,.23,.18,.32,.30,.03,-.08,-.02,.10,.21,.26,.26,-.29,.13,.14,.11,.22,.00,.24
1939,-.01,-.04,-.26,-.06,-.03,-.02,.03,.07,.13,.07,.22,.80,.07,-.02,-.11,-.12,.03,.14
1940,-.24,.20,.15,.30,.10,.08,.13,.01,.19,.21,.28,.26,.14,.18,.26,.18,.07,.23
1941,.20,.45,.04,.11,.15,.14,.19,.12,.05,.37,.11,.10,.17,.18,.30,.10,.15,.18
1942,.34,-.04,.13,.14,.14,.13,.03,-.05,.12,.29,.29,.21,.14,.13,.13,.14,.03,.23
1943,-.10,.38,.04,.31,.22,-.04,.05,.13,.16,.47,.39,.43,.20,.19,.16,.19,.05,.34
1944,.65,.47,.34,.19,.22,.17,.12,.13,.36,.42,.18,-.01,.27,.31,.52,.25,.14,.32
1945,.10,-.10,.09,.23,.05,.06,.02,.27,.17,.27,.13,-.23,.09,.11,-.01,.13,.12,.19
1946,.34,.21,.09,.34,.06,.01,-.01,.00,.01,.05,.13,-.39,.07,.08,.11,.16,.00,.06
1947,-.15,-.04,.27,.20,-.03,-.03,-.05,-.05,-.04,.40,.12,-.14,.04,.02,-.19,.15,-.05,.16
1948,.30,-.11,-.28,.01,.26,.01,-.01,.05,-.02,.03,.11,-.34,.00,.02,.01,.00,.02,.04
1949,.29,-.15,.02,-.01,.02,-.16,-.12,.00,-.04,.11,.05,-.21,-.02,-.03,-.07,.01,-.09,.04
1950,-.43,-.31,.08,-.21,-.02,-.05,-.20,-.23,-.10,-.08,-.38,-.08,-.17,-.18,-.32,-.05,-.16,-.19
1951,-.35,-.52,-.15,.08,.17,.00,.09,.23,.32,.26,.12,.34,.05,.01,-.32,.03,.11,.23
1952,.19,.16,-.25,.15,.14,.16,.14,.05,.15,-.03,-.23,.03,.05,.08,.23,.01,.12,-.04
1953,.27,.36,.26,.43,.22,.21,.18,.16,.16,.24,.03,.18,.23,.21,.22,.30,.18,.15
1954,-.30,-.05,-.16,-.07,-.13,-.04,-.10,.01,.09,.09,.30,-.17,-.04,-.02,-.06,-.12,-.04,.16
1955,.42,-.15,-.45,-.22,-.13,-.05,-.04,.05,.00,.12,-.35,-.33,-.09,-.08,.04,-.26,-.01,-.08
1956,-.11,-.35,-.26,-.24,-.31,-.20,-.21,-.26,-.34,-.30,-.30,-.16,-.25,-.27,-.26,-.27,-.22,-.31
1957,-.17,-.07,-.12,-.10,-.06,.12,.11,.17,.14,.07,.12,.27,.04,.00,-.13,-.09,.13,.11
1958,.71,.32,.19,.04,.13,.03,.05,.14,.07,.08,.06,.19,.17,.17,.43,.12,.07,.07
1959,.24,.17,.31,.20,.01,.12,.03,.06,.11,-.06,.00,.06,.11,.12,.20,.17,.07,.02
1960,.13,.45,-.42,-.13,.03,.18,.08,.10,.12,.06,-.09,.38,.08,.05,.22,-.17,.12,.03
1961,.16,.28,.19,.13,.05,.18,.06,.07,-.06,-.05,.08,-.16,.08,.12,.27,.12,.10,-.01
1962,.30,.37,.32,.22,.07,-.09,.13,.07,.00,.13,.15,.13,.15,.13,.17,.20,.04,.09
1963,.09,.52,-.12,.05,-.03,-.02,.13,.17,.15,.42,.45,.07,.16,.16,.25,-.03,.09,.34
1964,-.03,-.09,-.34,-.30,-.10,-.09,-.12,-.22,-.28,-.31,-.21,-.28,-.20,-.17,-.01,-.25,-.14,-.27
1965,-.01,-.38,-.04,-.26,-.09,-.20,-.17,-.19,-.19,-.03,.05,-.04,-.13,-.15,-.22,-.13,-.18,-.05
1966,-.21,.10,.01,-.22,.00,.05,.11,.16,.10,-.07,.02,-.07,.00,.00,-.05,-.07,.11,.02
1967,-.14,-.37,.21,.06,.23,-.04,.06,.06,-.02,.30,.01,.05,.03,.02,-.20,.17,.02,.10
1968,-.29,-.19,.47,.01,-.04,-.03,-.07,-.08,-.04,.04,-.16,-.29,-.06,-.03,-.14,.15,-.06,-.06
1969,-.42,-.42,-.15,.05,.12,-.05,.07,.04,.05,.05,.17,.37,-.01,-.06,-.37,.01,.02,.09
1970,-.02,.31,-.07,.00,-.03,.00,-.04,-.07,-.04,-.17,.02,-.30,-.03,.02,.22,-.03,-.04,-.06
1971,-.13,-.28,-.25,-.20,-.12,-.14,-.12,-.18,-.14,-.16,.01,-.16,-.16,-.17,-.24,-.19,-.15,-.10
1972,-.57,-.52,-.01,-.12,-.17,-.09,-.06,-.07,-.28,-.05,-.21,-.05,-.18,-.19,-.41,-.10,-.07,-.18
1973,.15,.43,.30,.17,.12,.16,.02,.01,-.08,-.02,-.09,-.01,.10,.09,.18,.20,.06,-.06
1974,-.32,-.38,.02,-.11,-.18,-.19,-.13,-.11,-.17,-.25,-.24,-.29,-.20,-.17,-.24,-.09,-.14,-.22
1975,.10,.08,.13,.06,.00,-.06,-.08,-.14,-.08,-.14,-.29,-.22,-.05,-.06,-.04,.06,-.09,-.17
1976,.07,-.11,-.32,.01,-.27,-.22,-.30,-.24,-.11,-.50,-.32,-.26,-.21,-.21,-.08,-.19,-.25,-.31
1977,-.15,.10,.26,.27,.22,.20,.07,.02,.15,-.02,.27,.02,.12,.09,-.10,.25,.10,.13
1978,.14,.14,.20,.06,-.08,-.14,-.07,-.13,-.01,-.04,.17,.08,.03,.02,.10,.06,-.12,.04
1979,.02,-.35,.16,-.17,.00,.06,.04,.03,.17,.21,.24,.52,.08,.04,-.08,.00,.04,.21
1980,.20,.43,.07,.13,.22,.18,.12,.09,.08,.15,.20,.08,.16,.20,.38,.14,.13,.14
1981,.84,.62,.68,.38,.16,.29,.11,.19,.18,.25,.38,.58,.39,.35,.51,.40,.20,.27
1982,-.07,.16,.04,.12,.08,.01,.05,-.06,.08,.01,-.12,.37,.06,.07,.22,.08,.00,-.01
1983,.55,.37,.45,.08,.05,.12,.21,.25,.28,.11,.53,.13,.26,.28,.43,.19,.19,.31
1984,.32,.07,.20,-.07,.22,.11,.08,.03,-.02,.07,-.13,-.42,.04,.08,.17,.12,.07,-.03
1985,.08,-.30,.00,-.06,.08,.04,-.10,-.02,.01,.02,.03,.15,-.01,-.05,-.22,.01,-.03,.02
1986,.36,.33,.25,.16,.19,.13,-.02,.04,.01,.06,.01,.09,.13,.14,.28,.20,.05,.03
1987,.28,.56,.02,.09,.23,.18,.28,.27,.43,.24,.09,.54,.27,.23,.31,.11,.25,.25
1988,.60,.42,.48,.45,.43,.39,.40,.26,.28,.25,.05,.47,.37,.38,.52,.45,.35,.19
1989,.11,.47,.43,.35,.22,.26,.31,.28,.28,.28,.13,.37,.29,.30,.35,.34,.28,.23
1990,.44,.50,1.14,.66,.48,.49,.30,.36,.41,.46,.49,.38,.51,.51,.44,.76,.38,.45
1991,.54,.52,.46,.55,.37,.44,.46,.35,.39,.31,.35,.22,.41,.43,.48,.46,.42,.35
1992,.54,.48,.49,.09,.18,.04,-.08,-.06,-.19,-.13,-.07,.22,.13,.13,.41,.25,-.03,-.13
1993,.42,.54,.40,.21,.30,.23,.13,.02,-.05,.16,-.14,.22,.20,.20,.39,.30,.13,-.01
1994,.37,-.02,.43,.48,.38,.43,.35,.31,.31,.54,.52,.34,.37,.36,.19,.43,.36,.46
1995,.73,1.15,.56,.73,.41,.48,.40,.56,.43,.62,.57,.31,.58,.58,.74,.57,.48,.54
1996,.31,.59,.30,.22,.38,.26,.30,.19,.07,.06,.38,.40,.29,.28,.40,.30,.25,.17
1997,.38,.56,.79,.53,.44,.51,.44,.47,.56,.69,.62,.54,.54,.53,.45,.58,.47,.62
1998,.67,1.06,.73,.89,.67,.75,.79,.75,.63,.58,.61,.77,.74,.72,.76,.77,.76,.60
1999,.60,1.02,.32,.56,.44,.40,.38,.37,.41,.45,.57,.73,.52,.52,.80,.44,.38,.48
2000,.35,.88,.87,.89,.57,.49,.44,.50,.40,.32,.21,.31,.52,.55,.65,.78,.47,.31
2001,.55,.49,.78,.59,.63,.56,.64,.69,.56,.62,.95,.67,.65,.62,.45,.67,.63,.71
2002,1.00,1.08,1.14,.50,.52,.71,.70,.54,.61,.57,.78,.49,.72,.73,.92,.72,.65,.65
2003,.91,.52,.61,.60,.72,.55,.67,.83,.79,.97,.68,.99,.74,.70,.64,.64,.68,.82
2004,.70,.91,.88,.74,.57,.50,.50,.55,.61,.76,.96,.42,.68,.72,.87,.73,.52,.78
2005,.87,.66,.89,.93,.79,.82,.78,.71,.93,.95,1.03,.80,.85,.81,.65,.87,.77,.97
2006,.65,.89,.80,.61,.74,.78,.67,.66,.75,.97,.93,1.11,.80,.77,.78,.72,.70,.89
2007,1.32,.93,.93,1.07,.71,.65,.63,.70,.67,.83,.78,.73,.83,.86,1.12,.90,.66,.76
2008,.22,.52,1.10,.65,.60,.63,.58,.60,.59,.86,.92,.66,.66,.67,.49,.78,.60,.79
2009,.79,.70,.59,.69,.66,.70,.65,.70,.80,.76,.82,.68,.71,.71,.72,.65,.68,.79
2010,.79,.88,1.11,1.15,.93,.81,.85,.82,.65,.89,1.17,.57,.89,.90,.78,1.07,.83,.90
2011,.57,.62,.87,.82,.64,.74,.71,.67,.69,.88,.62,.77,.72,.70,.59,.78,.71,.73
2012,.62,.57,.71,1.03,.92,.87,.81,.70,.87,.86,.91,.47,.78,.80,.65,.89,.79,.88
2013,.80,.65,.80,.67,.76,.74,.69,.68,.70,.83,1.05,.79,.76,.74,.64,.74,.71,.86
2014,.96,.69,1.18,1.05,.90,.83,.74,.90,.86,.97,.83,1.11,.92,.89,.81,1.05,.82,.89
2015,1.14,1.15,1.23,1.02,.97,1.03,.88,.99,1.12,1.24,1.34,1.44,1.13,1.10,1.13,1.07,.97,1.23
2016,1.52,1.90,1.81,1.43,1.03,1.09,1.02,1.07,1.18,1.03,1.08,.97,1.26,1.30,1.62,1.42,1.06,1.10
2017,1.22,1.43,1.45,1.16,.88,.91,***,***,***,***,***,***,***,***,1.21,1.16,***,***
