Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.06,.03,-.06,-.08,-.17,-.31,-.18,.14,.00,-.06,.02,-.02,-.06,***,***,-.10,-.12,-.01
1881,-.12,-.03,.04,.02,.05,-.14,-.07,.00,.04,-.04,-.10,-.01,-.03,-.03,-.06,.03,-.07,-.04
1882,.02,-.01,.07,.01,-.02,-.18,-.03,.06,.01,.04,-.06,-.13,-.02,-.01,.00,.02,-.05,.00
1883,-.10,-.17,-.17,-.17,-.20,.01,-.02,.01,-.06,-.10,-.06,-.11,-.09,-.10,-.13,-.18,.00,-.07
1884,-.15,-.08,-.03,-.12,-.22,-.26,-.23,-.02,-.02,-.09,-.16,-.21,-.13,-.12,-.11,-.12,-.17,-.09
1885,-.21,-.24,-.29,-.32,-.27,-.45,-.24,-.12,-.08,-.10,-.17,-.13,-.22,-.22,-.22,-.29,-.27,-.12
1886,-.19,-.25,-.26,-.22,-.18,-.35,-.17,-.16,-.08,-.25,-.18,-.37,-.22,-.20,-.19,-.22,-.23,-.17
1887,-.32,-.42,-.30,-.33,-.34,-.27,-.26,-.12,-.26,-.26,-.32,-.31,-.29,-.30,-.37,-.32,-.21,-.28
1888,-.28,-.27,-.32,-.27,-.30,-.36,-.23,-.12,-.06,-.02,.03,.09,-.18,-.21,-.29,-.30,-.24,-.01
1889,.00,.00,.06,-.02,.02,-.09,-.11,-.22,-.16,-.11,-.07,-.09,-.07,-.05,.03,.02,-.14,-.11
1890,-.29,-.37,-.40,-.41,-.48,-.39,-.30,-.32,-.31,-.33,-.23,-.20,-.34,-.33,-.25,-.43,-.34,-.29
1891,-.30,-.27,-.20,-.23,-.17,-.31,-.29,-.31,-.30,-.23,-.20,-.12,-.24,-.25,-.26,-.20,-.30,-.24
1892,-.17,-.13,-.19,-.28,-.26,-.38,-.41,-.33,-.19,-.11,-.14,-.09,-.22,-.22,-.14,-.24,-.37,-.14
1893,-.06,-.17,-.20,-.35,-.34,-.30,-.17,-.23,-.21,-.13,-.13,-.12,-.20,-.20,-.11,-.30,-.23,-.15
1894,-.24,-.22,-.23,-.32,-.35,-.41,-.33,-.29,-.19,-.11,-.03,-.12,-.24,-.24,-.19,-.30,-.34,-.11
1895,-.16,-.11,-.22,-.24,-.20,-.24,-.16,-.03,-.07,-.09,-.22,-.06,-.15,-.16,-.13,-.22,-.14,-.13
1896,-.04,-.07,-.08,-.03,-.21,-.33,-.10,-.08,-.03,.05,-.03,-.01,-.08,-.08,-.06,-.11,-.17,.00
1897,-.10,-.05,.06,-.03,-.17,-.21,-.11,-.09,-.05,-.06,-.10,-.18,-.09,-.08,-.06,-.05,-.14,-.07
1898,-.15,-.21,-.40,-.40,-.36,-.31,-.34,-.30,-.26,-.33,-.30,-.22,-.30,-.29,-.18,-.39,-.32,-.29
1899,-.26,-.21,-.21,-.22,-.18,-.19,-.09,-.08,-.03,-.14,-.13,-.09,-.15,-.16,-.23,-.20,-.12,-.10
1900,-.23,-.12,-.16,-.15,-.17,-.19,-.13,-.07,.02,-.05,-.09,-.22,-.13,-.12,-.15,-.16,-.13,-.04
1901,-.18,-.17,-.18,-.19,-.22,-.24,-.21,-.18,-.15,-.30,-.17,-.23,-.20,-.20,-.19,-.20,-.21,-.21
1902,-.22,-.22,-.24,-.18,-.21,-.26,-.22,-.33,-.18,-.26,-.23,-.26,-.23,-.23,-.22,-.21,-.27,-.22
