Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.20,-.34,-.06,-.42,-.14,-.06,-1.07,-.62,-.21,-.22,-.07,-.03,-.08,.34
1881,-.11,-.19,-.03,-.31,.00,-.06,-.76,-.46,-.13,-.02,.01,-.07,-.03,.31
1882,-.10,-.18,-.02,-.23,-.08,.03,-1.45,-.25,-.01,-.08,-.09,.03,.08,.36
1883,-.20,-.30,-.09,-.36,-.21,-.03,-.40,-.62,-.18,-.21,-.20,-.01,.00,.31
1884,-.27,-.42,-.13,-.56,-.16,-.12,-1.37,-.61,-.38,-.18,-.15,-.15,-.05,.35
1885,-.31,-.41,-.22,-.60,-.17,-.21,-1.21,-.70,-.40,-.10,-.24,-.27,-.07,.33
1886,-.30,-.39,-.22,-.48,-.24,-.21,-1.26,-.45,-.36,-.23,-.25,-.18,-.21,.22
1887,-.33,-.36,-.29,-.46,-.27,-.27,-1.59,-.55,-.18,-.21,-.32,-.24,-.29,.15
1888,-.20,-.22,-.18,-.42,.08,-.34,-1.45,-.47,-.20,.09,.07,-.30,-.38,.11
1889,-.11,-.16,-.07,-.26,.05,-.18,-.89,-.17,-.18,.01,.10,-.16,-.17,.14
1890,-.36,-.40,-.34,-.45,-.37,-.27,-1.36,-.45,-.27,-.31,-.44,-.16,-.40,-.01
1891,-.24,-.25,-.24,-.37,-.15,-.24,-1.37,-.26,-.24,-.05,-.25,-.20,-.28,.03
1892,-.27,-.32,-.22,-.33,-.30,-.17,-1.38,-.37,-.10,-.30,-.30,-.04,-.34,-.01
1893,-.30,-.40,-.20,-.40,-.39,-.08,-.93,-.40,-.28,-.41,-.38,.04,-.22,-.04
1894,-.31,-.38,-.24,-.29,-.38,-.23,-1.37,-.21,-.07,-.52,-.25,-.15,-.32,-.17
1895,-.22,-.28,-.15,-.34,-.13,-.20,-.97,-.39,-.16,-.18,-.09,-.21,-.13,-.07
1896,-.15,-.22,-.08,-.35,.03,-.19,-1.31,-.37,-.10,-.01,.07,-.16,-.22,-.02
1897,-.11,-.13,-.09,-.31,.17,-.29,-.84,-.32,-.16,.15,.18,-.21,-.37,-.01
1898,-.29,-.28,-.30,-.28,-.28,-.30,-1.30,-.03,-.19,-.26,-.30,-.27,-.30,.02
1899,-.16,-.17,-.15,-.19,-.13,-.18,-1.13,.03,-.10,-.14,-.11,-.13,-.23,.08
1900,-.09,-.04,-.13,-.13,.14,-.35,-.65,-.05,-.05,.10,.18,-.31,-.38,.06
1901,-.14,-.08,-.20,-.11,-.05,-.30,-.58,-.02,-.05,-.02,-.07,-.30,-.26,-.05
1902,-.27,-.31,-.23,-.48,-.06,-.34,-1.61,-.41,-.23,-.02,-.09,-.27,-.42,.00
1903,-.35,-.35,-.36,-.40,-.32,-.34,-.52,-.31,-.43,-.26,-.38,-.37,-.25,-.60
1904,-.44,-.46,-.43,-.47,-.46,-.40,-.40,-.54,-.44,-.43,-.48,-.37,-.39,-1.27
1905,-.28,-.29,-.27,-.38,-.13,-.38,-.28,-.17,-.54,-.14,-.12,-.38,-.34,-.38
1906,-.22,-.20,-.25,-.21,-.21,-.26,-.46,.02,-.30,-.20,-.23,-.24,-.22,-.67
1907,-.40,-.47,-.33,-.57,-.34,-.30,-.85,-.71,-.42,-.30,-.37,-.26,-.31,-1.19
1908,-.43,-.46,-.41,-.47,-.47,-.34,-.55,-.52,-.43,-.45,-.50,-.32,-.38,.64
